,Description,month,year,country,country,industry,hacktype
44,"April 2022. The Romanian National Directorate of Cyber Security said that multiple public and private sector websites were hit with DDoS attacks. The victims included the ministry of defense, border police, national railway company, and the OTP Bank. A group claiming credit for the attack said on Telegram that it hacked the websites because Romania supported Ukraine since the Russian invasion of the country. ",April,2022,Russia,Romania,Government,Denial of Service
45,"April 2022. Cybersecurity researchers identified a new campaign by Russian -linked hackers that started in January and targets diplomats and embassy officials from France, Poland, Portugal, and other countries. The hacks started with a phishing email to deliver a malware -laden file to the target. ",January,2022,Russia,Poland,Government,Phishing
46,April 2022. Iranian state tele vision claimed that the government foiled cyber intrusions that targeted more than 100 public sector agencies. They provided no further information on the incident. ,April,2022,Unknown,Iran,Government,Unknown
47,"April 2022 . Russian hackers targeted the Costa Rican Ministry of Finance in a cyberattac k, crippling tax collection and export systems. The newly elected President of Costa Rica declared a national emergency as a result of the attack and the group asked for $20 million in ransom or it plans to leak the stolen data. ",April,2022,Russia,Costa Rica,Government,Data Exfiltration
48,April 2022. Hackers targeted members of the European Commission with spyware developed by NSO Group. An Apple notification from November to thousands of iPhone users stating they were targeted by state -sponsored actor alerted the Commission of this spyware use. ,April,2022,Unknown,Unknown,Government,Malware
49,April 2022. A North Korea -linked hacking campaign using phishing emails sent from fake job recruiters targeted chemical companies in South Korea. ,April,2022,"Korea, North","Korea, South",Manufacturing,Phishing
50,April 2022. A Citizen Lab study discovered actors used NSO Group spyware to target at least 65 Catalonian activists and political figures. ,April,2022,Unknown,Spain,Government,Malware
51,April 2022. The U.S. Treasury Departmentâs Office of Foreign Assets Control attributed the March 29 hack of Ronin Network to a North Korean hacking group and announced sanctions against the hackers. The group stole over $540 million i n Ethereum and USDC. ,March,2029,"Korea, North",United States,Finance,Data Exfiltration
52,April 2022. Hackers launched DDoS attacks against websites belonging to the Finnish Ministries of Defence and Foreign Affairs. The attackâs botnet used over 350 IP addresses from around the world and the denial of service was sustai ned for four hours. ,April,2022,Unknown,Finland,Defense,Denial of Service
53,"April 2022. Hamas -linked cyber actors used a network of fake Facebook and Twitter profiles to surveil members of the Israeli security establishment. The actors also used WhatsApp to grow trust with their targets, then requesting them to download an app with malware. ",April,2022,Unknown,Israel,Defense,Malware
54,April 2022. Hackers targeted the Telegram accounts of Ukrainian government officials with a phishing attack in an attempt to gain access to the accounts. ,April,2022,Unknown,Ukraine,Government,Phishing
55,April 2022. Cybersecurity researchers observed hackers penetrating the networks of at least 7 Indian State Load Dispatch Centres (SLDCs) which oversee operations for electrical grid control. The SLDCs manage SCADA systems and researchers suggested that PLA -linked hack ers may be involved. ,April,2022,Unknown,India,Energy,Unknown
56,"April 2022. A social media platform disrupted two Iranian -linked cyber espionage campaigns that targeted activists, academics, and private companies. The campaign targeted businesses in the energy, semiconductor, and telecom sectors in countries including the U.S., Israel, Russia, and Canada by using phishing and other social engineering techniques. ",April,2022,Iran,United States,Energy,Phishing
57,"April 2022. A group targeted several Ukrainian media organizations in an attempt to gain long -term access to their networks and collect sensitive information, according to researchers. The group has connections to the Russian GRU. ",April,2022,Russia,Ukraine,Media,Data Exfiltration
58,"April 2022 . The United States removed Russian malware from computer networks around the world, a move made public by made public by Attorney General Merrick B. Garland. While it is unclear what the malwareâs intention was, authorities noted it could be used from anything from surveillance to destructive attacks. The malware created a botnet controlled by the Russian GRU. ",April,2022,Russia,United States,Unknown,Malware
59,"April 2022 . Hackers targeted a Ukraini an energy facility, but CERT -UA and private sector assistance largely thwarted attempts to shutdown electrical substations in Ukraine. Researchers believe the attack came from the same group with ties to the Russian GRU that targeted Ukraineâs power grid i n 2016, using an updated form of the same malware. ",April,2022,Russia,Ukraine,Energy,Malware
60,"April 2022: Hackers targeted Ukraineâs National Post Office with a DDoS attack, days after releasing a new stamp honoring a Ukrainian border guard. Th attack affected the agencyâs ability to run their o nline store. ",April,2022,Unknown,Ukraine,Government,Denial of Service
61,March 2022. Hackers used a DDoS attack to shut down the National Telecommunications Authority of the Marshall Islands. The attack disrupted internet services on the Islands for over a week. ,March,2022,Unknown,Marshall Islands,Telecommunications,Denial of Service
62,March 2022. Pakistani government -linked hackers targeted Indian government employees in an espionage operation. The group also created fake government and military websites to deliver malware to their targets. ,March,2022,Pakistan,India,Government,Malware
63,"March 2022. An attack on a satellite broadband service run by the American company Viasat disrupted internet services across Europe, including Ukrainian military communications at the start of the Russian invasion. The attackers hacked satellite modems belonging to thousands of Europeans to disrupt the companyâs service. ",March,2022,Russia,Ukraine,Telecommunications,Denial of Service
64,"March 2022. Hackers targeted Greenlandâs parliamentary authority in an apparent espionage operation, forcing the parliament to cancel meetings and slowing social benef it payments. ",March,2022,Unknown,Denmark,Government,Data Exfiltration
65,"March 2022. Hackers penetrated the websites belong to multiple Russian agencies including the Energy Ministry, the Federal State Statistics Service, the Federal Penitentiary Service, and the Federal Bailiff Service. The websites displayed several anti -government and a nti-invasion images and messages before the agencies were able to expel the attackers.   ",March,2022,Russia,Russia,Government,Unknown
66,"March 2022. The National Computer Network Emergency Response Technical Team/Coordination Center of China (CNCERT/CC) stated that hackers from the United States targeted Chinese computers to carry out attacks on Russia, Ukraine, and Belarus. ",March,2022,United States,China,Technology,Unknown
67,"March 2022. The European Banking Authority was targeted using a vulnerability in Microsoftâs mail server software, but no data was compromised. Various attacks using this vulnerability have been attributed to a Chinese government -backed actor. ",March,2022,China,France,Finance,Zero-day Exploits
68,March 2022. The U.S. Department of Justice charged four Russian government employees involved in hacking campaigns that took place between 2012 and 2018. The hacks targeted critical infrastructure companies and organizations largely in the energy sector. T he hackers sought to install backdoors and deploy malware in the operational technology of their targets. ,Unknown,2012,Russia,United States,Energy,Malware
69,"March 2022. Hackers defaced and disrupted several Russian government and state media websites, according to the Russian Ministry of Digital Developme nt and Communications. The Emergency Situations Ministry website was hacked, and the attackers wrote messages encouraging Russian soldiers to defect. Tass, a state -run news agency, was also penetrated and hackers displayed a call for people to âtake to the streets against the war.â ",March,2022,Unknown,Russia,Government,Denial of Service
70,"March 2022. The National Research Council, Canadaâs biggest state -funded research agency, shared that hackers penetrated its networks. An announcement on the Councilâs website explained that parts of its online presence were tak en offline as a result of this incident. ",March,2022,Unknown,Canada,Government,Unknown
71,"March 2022. Hackers linked to the Chinese government penetrated the networks belonging to government agencies of at least 6 different U.S. states in an espionage operation. Hackers took advantage of the Log4j vulne rability to access the networks, in addition to several other vulnerable internet -facing web applications. ",March,2022,China,United States,Government,Zero-day Exploits
72,"March 2022. Hackers used a DDoS attack to target a major Israeli telecommunication provider. As a result, multiple Israeli government websites were taken offline. ",March,2022,Unknown,Israel,Telecommunications,Denial of Service
73,"February 2022. Researchers identified campaigns by two North Korean government -backed groups targeting employees across numerous media, fintech, and software companies. The hackers used phishing emails advertising fake job opportunities an d exploited a vulnerability in Google Chrome to compromise the companiesâ websites and spread malware. ",February,2022,"Korea, North",Unknown,Technology,Phishing
74,"February 2022. The websites of the Ukrainian Cabinet of Ministers and Ministries of Foreign Affairs, Infrastructure, and Education were disrupted in the days before Russian troops invaded Ukraine. Wiper malware was also used to penetrate the networks of one Ukrainian financial institution and two government contractors. ",February,2022,Russia,Ukraine,Government,Denial of Service
75,February 2022. A Beijing -based cybersecurity company accused the U.S. National Secu rity Agency of engineering a backdoor to monitor companies and governments in over 45 countries   around the world. A Foreign Ministry spokesman said that operations like this may threaten the security of Chinaâs critical infrastructure and compromise trade secrets. ,February,2022,United States,China,Government,Data Exfiltration
76,"February 2022. On February 15, a DDoS attack knocked websites belonging to the Ukrainian Defense Ministry and two of the countryâs largest banks offline. The U.S. and the UK attributed the attack to the Russian GRU. The Ukrainian Cyber Police c laimed that the attack was connected to another âinformation attackâ where Ukrainian citizens received spam text messages claiming that ATMs were not working. ",February,2015,Russia,Ukraine,Defense,Denial of Service
77,February 2022. A Beijing -based cybersecurity company accused the U.S. National Security Agency of engineering a back -door to monitor companies and governments in over 45 countries around the world. A Foreign Ministry spokesman said that operations like this may threaten the security of Chinaâs critical infrastructure and compromise trade secrets. ,February,2022,United States,China,Government,Data Exfiltration
78,February 2022. A Pakistani group deployed a remote access trojan to conduct espionage against Indian military and diplomatic targets. The group generally uses social engineerin g and/or USB -based worms to penetrate a network. ,February,2022,Pakistan,India,Defense,Data Exfiltration
79,February 2022. An Iranian -linked group conducted espionage and other malicious cyber operations against a range of private companies and local and federal governments. ,February,2022,Iran,Unknown,Government,Data Exfiltration
80,February 2022. Russian state -sponsored actors hacked into numerous U.S. defense contractors between January 2020 and February 2022. The hackers exfiltrated emails and sensitive data relating to the companiesâ export -controlled products and proprietary information and interactions with foreign governments. ,January,2020,Russia,United States,Defense,Data Exfiltration
81,"February 2022. Multiple oil terminals in some of Europeâs biggest ports across Belgium and Germany fell victim to a cyberattack, rendering them unable to process incoming barges. A ransomware strain associated with a R ussian -speaking hacking group was used to disrupt the ability of energy companies to process payments. ",February,2022,Unknown,Germany,Energy,Malware
82,"February 2022. Since October 2021, a hacking group targeted Palestinian individuals and organizations with malware. Researchers suggest that the operat ion could be connected to a broader campaign by a hacking group commonly attributed to the cyber arm of Hamas that started in 2017. ",October,2021,Unknown,Unknown,Unknown,Malware
83,"February 2022. A U.N. report claimed that North Korea hackers stole more than $50 million between 2020 and mid -2021 from th ree cry ptocurrency exchanges. The report also added that in 2021 that amount likely increased, as the DPRK launched 7 attacks on cryptocurrency platforms to help fund their nuclear program in the face of a significant sanctions regime. ",Unknown,2020,"Korea, North",Unknown,Government,Data Exfiltration
84,February 2022. An investigation led by Mandiant discovered that hackers linked to the Chinese -government compromised email accounts belonging to Wall Street Journal journalists. The hackers allegedly surveilled and exfiltrated data from the newspaper for o ver two years beginning in at least February 2020.   ,February,2020,China,China,Government,Data Exfiltration
85,February 2022. The networks of the U.K. Foreign Office were penetrated by hackers. All details of the incident remain confidential. ,February,2022,Unknown,United Kingdom,Government,Unknown
86,"January 2022. A Chinese hacking group breached several German pharma and tech firms. According to the German government, the hack into the networks of service providers and companies was primarily an attempt to steal intellectual property. ",January,2022,China,Germany,Telecommunications,Data Exfiltration
87,January 2022. Hackers shut down internet traffic to and from North Korea twice in t wo weeks from what researchers say was likely a series of DDoS attacks. The second attack came just after North Koreaâs 5th missile test of the month. ,January,2022,"Korea, North","Korea, South",Telecommunications,Denial of Service
88,"January 2022. Hackers breached the Canadian Foreign Ministry, hampering some of the Ministryâs internet -connected services. The hack came a day after the government issued a warning to bolster network security in anticipation of Russia -based cyberattacks on critical infrastructure. ",January,2022,Russia,Canada,Government,Denial of Service
89,"January 2022. A series of DDoS attacks targeted a high -stakes Minecraft tour nament and ended up impacting Andorra Telecom, the country's only internet service provider. The attack disrupted 4G and internet services for customers. ",January,2022,Unknown,Andorra,Telecommunications,Denial of Service
90,"January 2022. The Informatic Directorate of the Greek Parliament identified an attempt to hack into 6 0 parliamentary email accounts. In response, authorities temporarily shut down the mailing system in the legislature. ",January,2022,Unknown,Greece,Government,Unknown
91,January 2022. An Australian spokesman accused WeChat of taking down Prime Minister Scott Morrisonâs account and redirecting users to a we bsite that provides information for Chinese expatriates. The Government claims that they first encountered problems posting to the Prime Ministerâs account in mid -2021. ,January,2022,China,Australia,Government,Denial of Service
92,"January 2022. Hackers breached systems belonging to the International Committee of the Red Cross, gaining access to data on more than 500,000 people and disrupting their services around the world. Researchers discovered that the operation may be linked to a sprawling influence operation based in Iran. ",January,2022,Iran,Unknown,Non-profit,Data Exfiltration
93,"January 2022. A cyberattack targete d the Ukrainian government, hitting 90 websites and deploying malicious software masquerading as ransomware to damage dozens of computers in government agencies. ",January,2022,Unknown,Ukraine,Government,Malware
94,"January 2022. Hackers attacked several Israeli media outlets, including Maariv and the Jerusalem Post, posting threatening messages on their websites. One message stated ""we are close to you where you do not think about it"" in English and Hebrew. ",January,2022,Unknown,Israel,Media,Unknown
95,"January 2022. A DRPK -affiliated group targeted multiple Russian diplomats with malware. The diplomats received an email disguised as a New Year greetings screensaver but which, after being opened, installed a remote access trojan.   ",January,2022,"Korea, North",Russia,Government,Malware
96,"December 2021. A cyberattack on the Belgium Ministry of Defen ce forced part of its computer network, includ ing the ministryâs mail system , to shut down for several days. Hackers exploited the Log4j vulnerability to compromise the network. ",December,2021,Unknown,Belgium,Government,Zero-day Exploits
97,December 2021. Hackers targeted multiple So utheast Asian governments over the past 9 months using custom malware linked to Chinese state -sponsored groups . Many of the nations targeted are currently engaged in disputes with China over territorial claims in the South China Sea. ,December,2021,China,Unknown,Government,Malware
98,December 2021 . A bre ach of Prime Minster Modiâs Twitter allowed hackers to Tweet from the account that India officially adopted bitcoin as legal tender. The Tweet also included a scam link promising a bitcoin giveaway. ,December,2021,Unknown,India,Finance,Denial of Service
99,December 2021. A Bloomberg investigation publicly linked an intrusion into Australiaâs telecommunications systems in 2012 to malicious code embedded in a software update from Huawei. ,Unknown,2012,China,Australia,Telecommunications,Supply Chain
100,"December 2021. Cybersecurity firms found government -linked hackers from China , Iran, a nd North Korea attempting to use the Log4j vulnerability to gain access to computer networks. Following the announcement of Log4j , researchers already found over 600,000 attempts to exploit the vulnerability. ",December,2021,China,Unknown,Telecommunications,Zero-day Exploits
101,"December 2021. Chinese hackers breached four more U.S. defense and technology firms in December, in addition to one organization in November. The hackers obtained passwords to gain access to the organizationsâ systems and looked to intercept sensitive communications. ",December,2021,China,United States,Defense,Data Exfiltration
102,December 2021. A Russian group took responsivity for a ransomware attack on Australian utility company CS energy. This announcem ent came after Australian media outlets blamed Chinese government hackers for the attack. ,December,2021,Russia,Australia,Energy,Malware
103,"November 2021 . A Russian -speaking group targeted the personal information of around 3,500 individuals, including government officials, journalists, and human right s activists. The group obtained access to private email accounts and financial details, and operate d malware on Android and Windows devices. ",November,2021,Russia,Russia,Government,Malware
104,November 2021. Hackers gained access to the social security and driverâs license numbers of employees after compromising a U.S. defense contractor. ,November,2021,Unknown,United States,Defense,Malware
105,November 2021. Chinese officials claim a foreign intelligence agency hacked into several airlines in China and stole passenger information. The officials stated the hacks are connected due to the use of a custom trojan in all the attacks . ,November,2021,Unknown,China,Transportation,Malware
106,"November 2021 . After CISA publicly shared details on a vulnerability, Chinese hackers targeted nine companies and 370 servers between September and October using the same vulnerability. ",September,2021,China,Unknown,Unknown,Zero-day Exploits
107,"November 2021. A vendor that handles data for the UK Labour Party was subject to a cyberattack, affecting the data of its members and affiliates.   ",November,2021,Unknown,United Kingdom,Government,Data Exfiltration
108,November 2021. Hackers gained access to the FBIâs Law Enforcement Enterprise Portal âa system used to communicate to state and local officials âand sent a warning of a cyberattack in an email claiming to be from the Depa rtment of Homeland Security (DHS). ,November,2021,Unknown,United States,Government,Unknown
109,"November 2021. The stock trading platform, Robinhood, disclosed a social engineering cyberattack that allowed a hacker to gain access to the personal information of around 7 million customers. The data included names, e mail addresses, and for some, data of birth, and zip codes. Following the breach, the hacker requested payment, presumably not to disclose the stolen data. ",November,2021,Unknown,United States,Government,Data Exfiltration
110,"October 2021. A Chinese -linked hacking group gained access to calling records and text messages from telecommunication carriers across the globe, according to a report from CrowdStrike. The report outlines the group began its cyberattacks in 2016 and infiltrated at leas t 13 telecommunications networks. ",Unknown,2016,China,Unknown,Telecommunications,Denial of Service
111,October 2021. A cyberattack targeted the government -issued electronic cards Iranians use to buy subsidized fuel and altered the text of electronic billboards to display anti -regime messages against the Supreme Leader Aya tollah Ali Khamenei. ,October,2021,Unknown,Iran,Energy,Unknown
112,"October 2021. A group with ties to Iran attempted to hack over 250 Office 365 accounts. All the targeted accounts were either U.S. and Israeli defense technology companies, had a focus on Persian Gulf ports of entry, or maritime trans portation companies with a presence in the Middle East. ",October,2021,Iran,Israel,Defense,Unknown
113,October 2021. Brazilian hackers carried out a cyberattack on the National Malware Center website belonging to Indonesiaâs State Cyber and Password Agency. The hackers edited the contents of the web page and indicated that the cyberattack was retribution for an Indonesian hack on the Brazilian state website. ,October,2021,Indonesia,Indonesia,Government,Malware
114,"October 2021 . Hackers leaked data and photos from the Israeli Defense Ministry after gaining access to 165 servers and 254 websites, overall co mpiling around 11 terabytes of data. ",October,2021,Unknown,Israel,Defense,Data Exfiltration
115,"October 2021. An American company announced that the Russian Foreign Intelligence Service (SVR) launched a campaign targeting resellers and other technology service providers that customize, deploy and manage cloud s ervices. ",October,2021,Russia,Russia,Technology,Malware
116,September 2021. Chinese state -linked hackers targeted Afghan telecom provider Roshan and stole gigabytes of data from their corporate mail server over the past year. ,September,2021,China,Afghanistan,Telecommunications,Data Exfiltration
117,"September 2021. The EU formally blamed Russia for its involvement in the 'G hostwriterâ cybercampaign, which targeted the elections and political systems of several member states. ",September,2021,Russia,Russia,Government,Unknown
118,"Since 2017, Russian operators hacked the social media accounts of government officials and news websites, with the goal of creating distrust in U.S. and NATO forces. ",Unknown,2017,Russia,United States,Government,Misinformation
119,"September 2021. Hackers obtained 15 TB of data from 8,000 organizations working with Israel -based company, Voicenter and offered the data online for $1.5 million. Some experts have stipulated the hackers have ties to Iran, but no link has been confirmed.   ",September,2021,Unknown,Israel,Unknown,Data Exfiltration
120,"September 2021. The Lithuanian Defense Ministry found hidden features in popular 5G smartphone models manufactured in China, according to its state -run cybersecurity body. The module embedded in the phones detects and censors 449 keywords or groups of keywords that are counter to the message of the Chinese government. ",September,2021,China,Lithuania,Defense,Zero-day Exploits
121,"September 2021. Two hours after the vote opened for Hungaryâs opposition primary elections, the polling systems in electoral districts nationwide fell victim to a cyberattack. The actor responsible is still unknown, but the cyberattack led to the government extending voting by two days. ",September,2021,Unknown,Hungary,Government,Unknown
122,"September 2021. The U.S. Department of Justice sentenced Ghaleb Alaumary to more than 11 years in prison for aiding North Korean cybercriminals in money laundering. His assistance included ATM cash -out operations, cyber -enabled bank heists, and business ema il compromise (BEC) schemes. These attacks targeted banks, professional soccer clubs, and other unnamed companies in the U.S. and U.K. ",September,2021,"Korea, North",United States,Finance,Unknown
123,"September 2021. A cyberattack against the United Nations occurred in April 2021, targeting users within the UN network to further long -term intelligence gathering. The hacker was able to access their networks through stolen user credentials purchased on the dark web. ",April,2021,Unknown,Unknown,Non-profit,Data Exfiltration
124,September 2021. The Norwegian Government stated a series of cyberattacks against private and state IT infrastructure came from bad actors sponsored by and operating from China. Their investigation of the hacks claims the actors attempted to capture classified information relating to Norwayâs national defense and security intelligence. ,September,2021,China,Norway,Defense,Data Exfiltration
125,"September 2021. Researchers and cybersecurity experts revealed a mobile espionage campaign against the Kurdish ethnic group. Hackers targeted individuals on Facebook, persuading them to download apps that contain Android backdoors utilized for espionage. ",September,2021,Unknown,Unknown,Technology,Data Exfiltration
